count,whiteWins,blackWins,draw,opening_name,opening_variation
49800,23333,24332,2135,Modern Defense, Geller's System
49099,23285,23975,1839,Sicilian Defense, Marshall Counterattack
48872,25545,21242,2085,Ruy Lopez," Berlin Defense, Improved Steinitz Defense"
48626,26083,20453,2090,Caro-Kann Defense," Advance Variation, Tal Variation"
48601,25270,21552,1779,Sicilian Defense, Marshall Gambit
48484,23624,23225,1635,Alekhine Defense, Two Pawn Attack
48435,27564,19551,1320,Scotch Game," Göring Gambit, Double Pawn Sacrifice"
47993,23730,22443,1820,Queen's Pawn Game," Chigorin Variation, Alburt Defense"
47286,22473,23227,1586,Blackmar-Diemer Gambit,~
47089,21642,23503,1944,Sicilian Defense, Accelerated Dragon
47025,23755,21522,1748,Scotch Game," Scotch Gambit, Advance Variation"
46969,23294,20959,2716,King's Indian Attack, Symmetrical Defense
46756,21036,23832,1888,Sicilian Defense," Accelerated Dragon, Exchange Variation"
46754,23551,21316,1887,English Opening," Symmetrical Variation, Two Knights Variation"
46017,22207,21726,2084,Richter-Veresov Attack,~
45968,23120,20503,2345,King's Indian Defense, Orthodox Variation
45594,22216,22089,1289,Owen Defense, Smith Gambit
45329,23109,20578,1642,French Defense," Advance Variation, Milner-Barry Gambit"
45120,22538,20635,1947,Yusupov-Rubinstein System,~
45077,22389,20375,2313,Four Knights Game, Double Spanish
44824,23205,20164,1455,French Defense, Mediterranean Defense
44761,24173,18466,2122,King's Pawn Game, Beyer Gambit
44159,22125,18903,3131,Indian Defense, Anti-Nimzo-Indian
44137,21005,20479,2653,Sicilian Defense," Najdorf Variation, English Attack"
43914,22964,18992,1958,King's Indian Attack, French Variation
43908,20877,20889,2142,Rat Defense, English Rat
43564,22345,19718,1501,Carr Defense,~
43449,21785,19816,1848,Ruy Lopez, Morphy Defense
43414,19883,22323,1208,Bird Opening, Williams Gambit
42774,22137,18882,1755,Pirc Defense, Byrne Variation
42713,21263,20285,1165,King's Gambit Declined, Classical Variation
42681,21892,18009,2780,Catalan Opening, Closed
42681,20440,20282,1959,Nimzo-Indian Defense,~
42611,21392,19863,1356,Vienna Game," Stanley Variation, Three Knights Variation"
42477,21131,19550,1796,Sicilian Defense, Lasker-Dunne Attack
42438,22118,18686,1634,Bishop's Opening," Vienna Hybrid, Spielmann Attack"
42424,21253,19707,1464,Blackmar-Diemer Gambit, Gedult Gambit
42415,21819,19049,1547,Ruy Lopez," Berlin Defense, Beverwijk Variation"
42382,21838,19081,1463,Italian Game," Giuoco Pianissimo, Canal Variation"
42328,20693,19065,2570,Sicilian Defense," Alapin Variation, Barmen Defense"
42023,20434,19819,1770,King's Indian Defense, Smyslov Variation
41950,19786,20696,1468,Sicilian Defense, Hyperaccelerated Pterodactyl
41802,20348,19312,2142,Sicilian Defense, Moscow Variation
41607,20492,19522,1593,Old Indian Defense, Czech Variation
40734,19476,19560,1698,Queen's Pawn Game," Veresov Attack, Classical Defense"
40699,19229,19178,2292,Sicilian Defense," Alapin Variation, Smith-Morra Declined"
40496,20985,18002,1509,French Defense, Paulsen Variation
40217,19078,19747,1392,Alekhine Defense," Scandinavian Variation, Geschev Gambit"
39991,20509,17630,1852,Ruy Lopez," Morphy Defense, Anderssen Variation"
39986,21463,17263,1260,King's Pawn Game, Gunderam Gambit
39904,19822,18235,1847,Sicilian Defense, Kalashnikov Variation
39415,19543,18532,1340,Nimzowitsch Defense, Kennedy Variation
39268,18932,18753,1583,King's Pawn Game, Tayler Opening
39125,19787,17683,1655,Zukertort Opening, Dutch Variation
39020,18535,18772,1713,Sicilian Defense, Snyder Variation
39001,17938,19481,1582,King's Pawn Opening,~
38832,18428,18992,1412,Caro-Kann Defense," Advance Variation, Van der Wiel Attack"
38572,20137,16729,1706,English Opening," Symmetrical Variation, Fianchetto Variation"
38395,19838,16965,1592,French Defense," Tarrasch Variation, Closed Variation"
38187,20436,16553,1198,Borg Defense,~
37996,17986,18398,1612,Dutch Defense, Rubinstein Variation
37979,17182,19225,1572,Indian Defense, West Indian Defense
37925,18025,18793,1107,Latvian Gambit Accepted,~
37636,15512,21114,1010,Italian Game," Two Knights Defense, Fritz Variation"
37632,18323,18104,1205,Ponziani Opening, Neumann Gambit
37521,19269,16871,1381,Polish Defense,~
37483,26628,9730,1125,Italian Game," Two Knights Defense, Knight Attack"
37437,18917,16925,1595,English Opening, Anglo-Dutch Defense
37330,17831,17952,1547,Sicilian Defense," Najdorf Variation, Lipnitsky Attack"
37177,18533,17222,1422,King's Indian Defense, Four Pawns Attack
37044,18373,17153,1518,Polish Opening, Czech Defense
36756,18504,16944,1308,Center Game, Berger Variation
36450,19103,16029,1318,Nimzowitsch Defense, Mikenas Variation
36354,16774,18513,1067,King's Gambit Accepted, Cunningham Defense
35977,18676,16027,1274,Gunderam Defense,~
35802,18894,15466,1442,Queen's Gambit Accepted," Central Variation, Greco Variation"
35774,19247,15081,1446,English Opening, Carls-Bremen System
35506,19909,14020,1577,Ruy Lopez," Exchange Variation, Lutikov Variation"
35249,17703,16156,1390,Russian Game," Modern Attack, Symmetrical Variation"
35154,17481,16096,1577,Queen's Gambit Declined," Baltic Defense, Pseudo-Slav"
34901,15692,18159,1050,Indian Defense, Omega Gambit
34828,16141,16358,2329,French Defense," Rubinstein Variation, Blackburne Defense"
34702,19204,14203,1295,Réti Opening, Réti Accepted
34610,16078,17358,1174,Pirc Defense, Roscher Gambit
34512,14603,18419,1490,Portuguese Opening,~
34475,16834,16462,1179,Scotch Game," Scotch Gambit, Dubois Réti Defense"
34314,18450,14344,1520,Philidor Defense, Nimzowitsch Variation
34311,16910,15791,1610,French Defense, Schlechter Variation
34201,18249,14681,1271,Scotch Game, Benima Defense
34050,18413,13947,1690,Four Knights Game, Ranken Variation
33891,17439,15042,1410,Ruy Lopez," Morphy Defense, Modern Steinitz Defense"
33614,15903,16080,1631,Indian Defense," Budapest Defense, Adler Variation"
33465,18027,14217,1221,Queen's Gambit Accepted," Central Variation, Alekhine System"
33202,18666,13221,1315,Queen's Gambit Accepted, Normal Variation
33106,16930,14903,1273,Dutch Defense, Raphael Variation
33096,16412,14969,1715,Queen's Gambit Declined," Modern Variation, Normal Line"
32976,16651,15284,1041,Benoni Defense, King's Pawn Line
32839,18215,13549,1075,Queen's Gambit Declined," Chigorin Defense, Janowski Variation"
32795,15534,15883,1378,Philidor Defense, Hanham Variation
32779,16992,14816,971,Englund Gambit Complex, Felbecker Gambit
32585,17991,13352,1242,Queen's Gambit Accepted, Rosenthal Variation
32579,15970,15326,1283,Modern Defense, Averbakh System
32359,16934,14387,1038,Four Knights Game, Halloween Gambit
32101,15204,15574,1323,King's Knight Opening, Konstantinopolsky
32012,15764,14704,1544,Slav Defense," Quiet Variation, Pin Defense"
32003,15631,15143,1229,Benoni Defense, Hromádka System
31805,17282,13097,1426,Scotch Game, Lolli Variation
31589,16997,13374,1218,Queen's Gambit Accepted," Central Variation, Modern Defense"
31383,15245,14794,1344,Nimzo-Indian Defense, Leningrad Variation
31303,15928,14153,1222,Vienna Game," Stanley Variation, Reversed Spanish"
31262,16473,13323,1466,French Defense, Tarrasch Variation
31141,15520,14598,1023,Grob Opening, Grob Gambit
31089,15519,14226,1344,Nimzo-Indian Defense, Three Knights Variation
31066,18562,11712,792,Danish Gambit Accepted,~
30859,15107,14516,1236,Tarrasch Defense,~
30752,13888,15462,1402,Philidor Defense, Lion Variation
30687,15369,13992,1326,English Opening," King's English Variation, Kramnik-Shirov Counterattack"
30494,16134,13282,1078,Scotch Game, Göring Gambit
30429,14915,13637,1877,Russian Game, Cozio Attack
30211,15118,13415,1678,Indian Defense, Przepiorka Variation
29981,15211,13794,976,Hungarian Opening, Reversed Alekhine
29957,15217,13436,1304,Queen's Gambit Declined," Tarrasch Defense, Pseudo-Tarrasch"
29889,15050,11804,3035,Ruy Lopez," Berlin Defense, Rio Gambit Accepted"
29840,12804,15779,1257,Scotch Game," Classical Variation, Intermezzo Variation"
29813,14220,14538,1055,Italian Game," Classical Variation, La Bourdonnais Variation"
